no,category_id,tag_id,parent_id,endpoint_id,id,原本位置,title,current_url,layout_id,policy_ids,author_ids,energy_ids,buzzword_ids,ta_ids,need_ids,started,ended,created,updated,deleted
33,policy,law/system/misc,,能源使用說明書之格式及應記載事項,,,能源使用說明書之格式及應記載事項,https://www.moeaboe.gov.tw/ECW/populace/content/wHandMenuFile.ashx?file_id=1636,content,,,,,,,,,,,
34,policy,law/system/misc,,能源使用說明書審查規費收費標準,,,能源使用說明書審查規費收費標準,https://www.moeaboe.gov.tw/ECW/populace/content/wHandMenuFile.ashx?file_id=1637,content,,,,,,,,,,,
35,policy,law/system/misc,,經濟部對民間團體辦理能源領域會議及活動補助或捐助作業要點,,,經濟部對民間團體辦理能源領域會議及活動補助或捐助作業要點,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=2064,content,,,,,,,,,,,
36,policy,law/system/misc,research_fund,能源研究發展基金收支保管及運用辦法,research_fund/能源研究發展基金收支保管及運用辦法,,能源研究發展基金收支保管及運用辦法,http://law.moj.gov.tw/LawClass/LawContent.aspx?PCODE=J0130008,nav_content,,,,,,,,,,,
37,policy,law/system/oil,,石油管理法,,,石油管理法,http://law.moj.gov.tw/LawClass/LawContent.aspx?PCODE=J0020019,content,,,oil,,,,,,,,
38,policy,law/system/oil,,石油製品查驗作業要點,,,石油製品查驗作業要點,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=1011,content,,,oil,,,,,,,,
39,policy,law/system/oil,,溶劑油與潤滑油申報,,,溶劑油與潤滑油申報,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=639,content,,,oil,,,,,,,,
40,policy,law/system/oil,,國內石油市場油品供需失調或有失調之虞之認定與限制期間、條件及方式,,,國內石油市場油品供需失調或有失調之虞之認定與限制期間、條件及方式,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=1014,content,,,oil,,,,,,,,
41,policy,law/system/oil,,石油煉製業輸入石油供作製造石化原料進料退費申請作業要點,,,石油煉製業輸入石油供作製造石化原料進料退費申請作業要點,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=1012,content,,,oil,,,,,,,,
42,policy,law/system/oil,,經濟部查核溶劑油及潤滑油輸入或銷售流向作業要點,,,經濟部查核溶劑油及潤滑油輸入或銷售流向作業要點,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=638,content,,,oil,,,,,,,,
43,policy,law/system/oil,,石油安全存量查核作業要點,,,石油安全存量查核作業要點,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=635,content,,,oil,,,,,,,,
44,policy,law/system/oil,,石油業申請油槽延長內部檢查年限作業要點,,,石油業申請油槽延長內部檢查年限作業要點,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=1013,content,,,oil,,,,,,,,
45,policy,law/system/oil,,政府儲油管理作業要點,,,政府儲油管理作業要點,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=637,content,,,oil,,,,,,,,
46,policy,law/system/oil,,公告石油原油、瀝青礦原油、汽油、柴油、煤油、輕油、液化石油氣、航空燃油及燃料油為准許石油輸入業輸入之石油,,,公告石油原油、瀝青礦原油、汽油、柴油、煤油、輕油、液化石油氣、航空燃油及燃料油為准許石油輸入業輸入之石油,https://www.moeaboe.gov.tw/ECW/populace/Law/Content.aspx?menu_id=621,content,,,oil,,,,,,,,
47,policy,law/system/oil,oil_management,液化石油氣經銷業分裝業及零售業供銷管理規則,oil_management/液化石油氣經銷業分裝業及零售業供銷管理規則,,液化石油氣經銷業分裝業及零售業供銷管理規則,http://law.moj.gov.tw/LawClass/LawContent.aspx?PCODE=J0130062,nav_content,,,oil,,,,,,,,
48,policy,law/system/oil,oil_management,加油站設置管理規則,oil_management/加油站設置管理規則,,加油站設置管理規則,http://law.moj.gov.tw/LawClass/LawContent.aspx?PCODE=J0120032,nav_content,,,oil,,,,,,,,
49,policy,law/system/oil,oil_management,加氣站設置管理規則,oil_management/加氣站設置管理規則,,加氣站設置管理規則,http://law.moj.gov.tw/LawClass/LawContent.aspx?PCODE=J0120052,nav_content,,,oil,,,,,,,,
