no,category_id,parent_id,endpoint_id,id,title,icon,layout,tab_filter_id,text_filter_id,dropdown_filter_ids,dropdown_sorter_ids,history
73,service,corporation,reward,corporation/reward,申請獎勵,briefcase,service,,,,,
74,service,corporation,feedback,corporation/feedback,意見信箱,briefcase,service,,,,,
75,service,,local_gov,,地方政府,briefcase,service,,,,,
76,service,local_gov,law,local_gov/law,法規資訊,briefcase,service,,,,,
77,service,local_gov,counsel,local_gov/counsel,輔導與技術服務,briefcase,service,,,,,
78,service,local_gov,subsidy,local_gov/subsidy,申請補助,briefcase,service,,,,,
79,service,local_gov,reward,local_gov/reward,申請獎勵,briefcase,service,,,,,
80,service,local_gov,feedback,local_gov/feedback,意見信箱,briefcase,service,,,,,
81,service,,school,,學校,briefcase,service,,,,,
82,service,school,apply,school/apply,申辦業務,briefcase,service,,,,,
83,service,school,report,school/report,申報資料,briefcase,service,,,,,
84,service,school,counsel,school/counsel,輔導與技術服務,briefcase,service,,,,,
85,service,school,project,school/project,學界能源科技專案,briefcase,service,,,,,
86,service,school,subsidy,school/subsidy,申請補助,briefcase,service,,,,,
87,service,school,reward,school/reward,申請獎勵,briefcase,service,,,,,
88,service,school,feedback,school/feedback,意見信箱,briefcase,service,,,,,
89,service,,specialist,,專業技術人員,briefcase,service,,,,,
90,service,specialist,apply,specialist/apply,申辦業務,briefcase,service,,,,,
91,service,specialist,report,specialist/report,申報資料,briefcase,service,,,,,
92,service,specialist,counsel,specialist/counsel,輔導與技術服務,briefcase,service,,,,,
93,service,specialist,training,specialist/training,教育訓練,briefcase,service,,,,,
94,service,specialist,feedback,specialist/feedback,意見信箱,briefcase,service,,,,,
95,service,,citizen,,民眾,briefcase,service,,,,,
96,service,citizen,apply,citizen/apply,申辦業務,briefcase,service,,,,,
97,service,citizen,subsidy,citizen/subsidy,申請獎勵,briefcase,service,,,,,
98,service,citizen,counsel,citizen/counsel,輔導與技術服務,briefcase,service,,,,,
99,service,citizen,feedback,citizen/feedback,意見信箱,briefcase,service,,,,,
100,info,,statistic,,統計資料,chart bar,,,,,,
101,info,statistic,manual,statistic/manual,能源統計手冊,chart bar,,,,,,
102,info,statistic,seasonal,statistic/seasonal,能源季報,chart bar,,,,,,
103,info,statistic,monthly,statistic/monthly,能源月報,chart bar,,,,,,
104,info,statistic,query,statistic/query,能源統計資料查詢系統,chart bar,,,,,,
105,info,statistic,infographic,statistic/infographic,熱門能源資訊圖表,chart bar,,,,,,
106,info,statistic,taipower,statistic/taipower,台電資訊揭露(超連結),chart bar,,,,,,
107,info,statistic,county,statistic/county,縣市能源資訊,chart bar,,,,,,
108,info,,promotion,,宣導推廣,bullhorn,,,,,,
109,info,promotion,faq,promotion/faq,常見QA,question,,,,,,
110,info,,knowledge,,能源知識,book,,,,,,
111,info,knowledge,term,knowledge/term,雙語詞彙-能源名詞,book,,,,,,
112,info,knowledge,energy,knowledge/energy,總體能源政策,book,,,,,,
113,info,knowledge,oil_gas,knowledge/oil_gas,石油與天然氣,book,,,,,,
114,info,knowledge,electricity,knowledge/electricity,電力,book,,,,,,
115,info,knowledge,renewable,knowledge/renewable,再生能源,book,,,,,,
116,info,knowledge,saving,knowledge/saving,節約能源,book,,,,,,
117,info,knowledge,co2,knowledge/co2,溫室氣體,book,,,,,,
118,info,,blog,,能源BLOG,newspaper,,,,,,
119,info,blog,story,blog/story,能源報導,newspaper,,,,,,
120,info,blog,infographic,blog/infographic,能源資訊圖表,chart area,,,,,,
